brand,ram_gb,storage_gb,battery_mah,primary_camera_mp,front_camera_mp,screen_size_inch,weight_g,fiveg,price_inr
Realme,6,512,5940,12,12,6.51,162,0,22302
Motorola,6,128,5319,12,16,5.44,224,1,18614
Realme,6,64,4953,48,16,5.43,179,0,20637
Apple,12,128,4089,108,8,6.05,216,1,34889
Oppo,4,64,3482,12,16,5.99,162,1,20690
Realme,12,512,3935,108,8,5.54,155,1,37436
Motorola,4,64,5295,64,8,5.57,200,1,18825
Apple,6,256,3155,108,32,5.53,207,0,20136
Samsung,6,32,4070,50,8,6.47,219,1,16622
OnePlus,12,32,4958,50,8,6.24,170,0,24291
OnePlus,12,512,5501,108,32,6.58,192,1,34849
OnePlus,4,256,5248,50,16,6.85,164,1,23520
Realme,8,128,4683,64,12,5.9,183,1,29167
Samsung,4,256,3123,48,12,5.13,151,1,22634
Realme,12,32,5048,50,12,5.09,229,1,32925
Oppo,12,32,3967,50,16,5.56,148,1,31939
Realme,3,256,3854,108,8,6.77,151,1,16829
Samsung,12,256,3639,64,12,5.99,208,1,31537
Samsung,3,32,5238,48,16,5.52,193,0,16690
Oppo,8,128,4602,108,8,5.76,193,1,20469
Samsung,4,512,5563,108,32,6.14,167,1,27584
Motorola,4,512,3441,64,12,6.24,195,0,15041
Samsung,3,256,4944,48,8,5.29,208,1,21306
OnePlus,4,512,4838,64,12,6.86,216,0,19575
Motorola,12,32,4829,48,12,6.04,197,1,30450
Motorola,6,32,5190,64,12,5.26,217,0,15504
Oppo,3,256,3532,108,8,6.7,214,1,15788
Xiaomi,4,256,5274,108,16,5.14,181,0,20091
Xiaomi,3,256,4336,12,8,6.72,177,1,20406
Samsung,3,128,3948,50,12,6.89,207,1,18028
Motorola,6,512,5019,64,8,6.33,192,1,30535
Xiaomi,12,256,3459,12,32,6.46,172,1,27799
Xiaomi,3,64,3550,50,16,5.64,210,1,19648
Samsung,4,64,3392,64,8,6.79,195,0,13256
Xiaomi,8,32,4787,48,32,6.01,211,0,20666
Realme,3,512,3844,50,16,6.39,190,1,24569
Apple,3,256,5257,108,32,6.76,213,1,22342
Oppo,6,64,4138,12,16,6.85,182,0,19310
Apple,12,512,3645,50,8,6.58,154,1,31445
Samsung,8,32,5266,50,32,5.58,177,0,16865
OnePlus,4,128,5454,108,12,6.84,154,0,17817
Oppo,8,512,4466,64,32,6.19,144,1,23768
Samsung,4,512,4377,48,16,6.77,222,1,20557
Motorola,12,128,5935,108,8,6.28,193,1,37761
OnePlus,4,512,5605,48,16,5.58,190,1,26521
Apple,6,32,5597,64,32,5.7,149,1,21492
Samsung,6,32,3141,50,32,6.05,151,1,21130
Motorola,6,128,5659,48,12,6.5,143,0,21402
Oppo,6,256,3500,12,8,5.6,157,0,19588
Oppo,8,64,3839,12,8,6.1,219,1,24043
Vivo,12,256,5749,108,32,5.66,175,1,31963
Motorola,4,512,4682,64,8,6.55,164,1,21415
Realme,4,64,4565,108,12,5.89,226,0,11045
Xiaomi,6,128,5046,108,16,5.15,215,0,23648
OnePlus,6,128,4530,108,8,5.32,175,1,26113
Motorola,3,64,3595,12,32,5.12,206,0,13101
Vivo,12,32,4904,12,16,5.95,148,1,32211
Xiaomi,8,64,3280,108,16,5.2,200,0,22278
Xiaomi,4,512,3423,12,12,5.22,192,0,15085
Samsung,3,32,5903,64,32,6.79,157,1,16197
Xiaomi,3,128,3269,108,8,6.66,182,1,19353
Realme,4,64,3153,12,32,5.86,174,1,14148
Oppo,8,256,5661,48,16,6.87,202,0,28704
Vivo,3,256,4750,108,32,5.0,217,1,14518
Xiaomi,3,512,3661,108,8,6.17,143,0,15784
Samsung,12,256,4967,64,8,6.17,180,1,31187
Realme,8,64,3082,50,12,5.87,184,1,27125
Apple,3,64,5994,50,8,5.75,189,0,18441
Oppo,8,256,5946,64,8,5.87,218,1,29784
Oppo,4,64,4449,64,32,5.79,167,0,18361
Vivo,6,512,4298,64,32,6.39,181,1,21607
Oppo,3,32,5331,50,16,5.26,219,1,16799
Xiaomi,12,512,3979,64,12,5.38,215,1,36074
Samsung,4,512,5220,12,32,5.34,208,0,21252
Oppo,8,64,5810,108,8,5.5,140,1,22957
Oppo,4,32,4659,108,16,6.0,178,1,18363
Apple,3,64,4398,48,32,5.21,229,1,13961
Apple,8,128,3632,48,12,6.65,156,1,26227
OnePlus,6,64,4531,108,12,5.56,227,0,15247
Realme,4,64,3786,12,16,5.31,174,1,14445
Xiaomi,3,64,5990,50,16,6.28,185,0,18449
Oppo,12,32,3397,50,16,5.07,181,0,28328
Motorola,8,64,4143,12,16,6.18,178,1,25723
Oppo,4,32,3933,50,16,6.33,229,1,17371
Samsung,4,256,4460,64,8,5.41,188,1,24421
OnePlus,6,128,4852,108,8,5.08,201,1,22730
Realme,6,32,5723,108,32,5.69,177,1,25208
Motorola,12,256,5983,12,12,5.19,162,1,33851
OnePlus,12,32,5512,50,8,5.22,161,1,29849
Vivo,3,32,3285,48,8,5.48,143,0,8738
Realme,3,128,3264,48,8,5.56,188,1,12697
Oppo,12,512,5367,50,32,6.01,198,0,28091
Oppo,12,512,5720,48,16,6.29,212,1,37531
Realme,8,32,5867,12,32,6.13,207,1,19612
Oppo,6,64,5136,12,12,5.28,210,1,24690
Xiaomi,3,256,4677,50,12,5.33,226,1,20451
Realme,6,64,4226,48,12,6.67,141,0,14029
OnePlus,6,64,3820,12,12,6.06,188,1,16283
Realme,12,32,4762,12,8,6.65,227,0,26874
Motorola,8,32,5381,64,8,5.71,170,1,24124
Oppo,4,32,5269,64,32,6.17,179,1,18952
Xiaomi,8,32,3040,12,16,5.99,187,1,19172
Xiaomi,8,512,4731,50,12,5.61,190,0,30142
Vivo,6,32,3067,108,32,5.89,182,0,17263
OnePlus,8,512,3987,108,8,5.95,194,0,23789
Apple,3,512,4799,12,8,5.38,227,1,20505
Apple,6,32,5561,12,16,5.6,188,1,20734
Realme,3,128,4621,12,16,6.5,229,0,12667
Vivo,4,256,4655,50,16,6.74,219,1,15997
Samsung,6,64,4278,64,32,5.68,196,1,24643
Realme,4,512,3694,12,8,5.58,216,1,16558
Vivo,6,256,5524,12,8,5.37,154,1,21315
OnePlus,12,128,4085,48,16,6.29,166,1,27441
OnePlus,8,64,5928,50,12,5.61,207,0,17660
OnePlus,12,64,5479,12,16,6.88,219,0,23911
OnePlus,4,512,4693,48,32,5.62,203,0,20670
OnePlus,8,32,5315,108,16,5.75,169,1,21830
Vivo,6,128,4058,12,16,6.15,175,1,24527
Vivo,8,512,3778,12,32,6.52,206,1,32153
Xiaomi,3,128,3493,48,16,5.89,225,0,17617
Motorola,8,32,4585,50,8,5.8,225,1,27271
Apple,3,32,4492,12,12,6.89,188,0,14781
Oppo,8,512,4790,108,16,5.02,215,0,21244
OnePlus,3,32,3660,12,32,6.7,194,1,16031
Samsung,4,256,4348,108,12,5.28,224,1,18820
Oppo,12,64,4327,64,32,6.49,195,1,26492
Vivo,6,512,4299,64,12,6.17,207,1,23584
Samsung,8,128,4986,108,12,5.65,183,0,25991
Samsung,12,256,5044,50,16,6.66,170,0,25968
Samsung,6,512,4928,12,8,5.02,197,1,19557
Xiaomi,6,32,4347,12,16,5.43,226,1,19659
Vivo,3,32,4058,64,32,6.08,192,1,15166
Samsung,4,32,3976,108,32,5.67,223,1,19163
OnePlus,4,32,3481,12,12,6.16,218,1,13689
Realme,12,128,3727,12,12,5.05,162,0,29816
Samsung,4,256,5527,50,8,5.22,167,0,17226
Xiaomi,8,64,4031,48,16,5.24,155,1,27851
Oppo,4,128,3342,64,32,5.36,176,0,18114
Vivo,12,128,4447,64,12,5.87,160,1,32214
Motorola,4,64,5379,48,8,6.43,218,1,21835
Xiaomi,8,64,5485,12,32,6.72,156,1,23404
Samsung,3,32,5221,50,12,6.59,176,0,14369
Vivo,12,128,5606,50,32,5.37,216,0,29967
Realme,3,512,3526,64,8,5.84,158,1,15766
Samsung,3,64,4896,50,8,5.38,169,1,16054
Xiaomi,3,64,3658,48,32,5.5,184,1,12112
Apple,6,256,5073,12,16,5.96,157,1,21540
OnePlus,6,512,3819,48,32,5.13,217,1,21584
Motorola,3,512,5652,108,12,5.41,201,1,21894
Oppo,12,64,3405,64,16,6.78,175,1,26050
Xiaomi,8,32,5279,50,12,5.89,223,1,21212
Vivo,8,256,5580,108,32,5.85,191,1,25727
Motorola,4,512,4573,50,16,5.03,158,0,16998
Motorola,12,64,4811,12,12,5.47,183,1,33807
Motorola,6,512,3504,12,32,6.65,146,1,25365
Samsung,3,256,3178,12,32,5.31,183,1,15319
OnePlus,4,256,3131,50,16,5.79,207,1,16222
Samsung,8,128,4846,108,32,5.03,173,1,27687
Vivo,6,64,4478,12,8,5.91,205,1,17717
Samsung,6,256,5395,108,12,5.04,208,1,25244
Apple,3,128,5587,50,12,6.56,194,1,13049
OnePlus,8,128,3771,108,32,6.57,149,1,26297
OnePlus,12,512,4429,50,32,6.5,181,1,37594
Vivo,6,512,5123,50,8,5.54,180,1,27647
Oppo,3,128,3578,64,16,6.59,216,0,14137
Apple,12,512,5901,50,32,6.03,208,1,34212
Xiaomi,8,256,4515,50,32,5.71,149,0,21328
Samsung,6,32,3193,48,32,6.19,149,1,22419
Realme,12,256,5007,12,32,5.02,199,0,28343
Samsung,12,128,4185,64,12,5.27,190,1,25695
Motorola,12,128,5394,64,32,6.41,160,1,32519
Samsung,6,256,5998,64,12,5.46,147,0,24594
Xiaomi,6,512,4384,48,32,6.14,204,0,21175
Samsung,4,512,4792,50,16,5.73,217,0,16057
Apple,8,128,4110,12,8,6.62,224,1,23158
Apple,3,64,5261,108,16,6.81,169,1,18170
OnePlus,12,512,4936,50,32,6.68,224,0,33050
Vivo,4,256,5620,48,32,5.51,188,0,16155
Oppo,3,512,3779,50,32,5.37,148,1,22633
Realme,4,256,3261,50,16,5.9,156,0,11969
Motorola,6,128,3729,48,32,5.01,208,1,19707
Samsung,12,512,3282,64,16,5.05,197,0,34684
Samsung,3,256,4490,64,12,6.05,196,1,19976
Xiaomi,3,128,3361,12,8,5.99,201,0,15004
Vivo,3,64,3440,12,8,6.89,191,1,18632
Apple,3,256,5140,64,16,5.38,200,0,13355
Realme,3,64,4644,108,12,5.49,179,1,17849
OnePlus,4,64,5800,50,16,5.22,177,1,19531
Apple,12,32,3866,108,12,6.74,182,1,29349
Motorola,6,512,4447,50,32,6.48,202,1,29100
Vivo,6,256,3141,64,12,6.56,158,1,22980
Motorola,6,64,4314,12,12,6.72,189,1,20319
Oppo,6,32,4455,12,12,6.0,172,1,20027
OnePlus,4,128,5796,108,8,5.86,152,0,20270
Oppo,8,256,4875,12,12,5.63,217,1,26518
Xiaomi,12,64,4847,64,32,6.12,201,1,27304
Motorola,3,512,4712,108,32,5.86,182,0,23467
Xiaomi,8,32,5700,50,32,5.86,188,0,24028
Samsung,6,64,3700,12,12,6.78,175,0,16484
Oppo,8,512,3997,48,16,6.87,149,1,32642
Vivo,12,64,5096,12,16,6.51,145,0,22893
Motorola,3,256,4325,50,32,6.44,196,0,19260
Realme,3,256,3880,108,8,6.29,140,0,19167
OnePlus,12,256,4213,50,16,5.32,210,1,33616
Apple,12,32,4159,48,12,5.11,197,1,28292
Vivo,6,256,3554,64,16,6.31,160,1,22043
Vivo,3,512,3403,12,32,6.38,219,0,15207
Xiaomi,8,64,3891,108,8,5.09,195,0,22214
Oppo,4,128,5912,64,16,6.76,226,1,23761
Motorola,4,512,3601,50,16,5.17,159,1,17472
Motorola,12,512,4830,108,32,5.54,193,1,38825
Samsung,6,256,3340,64,8,6.28,164,0,14316
Samsung,4,32,4968,108,8,5.32,167,1,15249
OnePlus,3,64,3703,48,32,5.11,144,1,11648
Xiaomi,12,32,3317,48,12,5.63,160,0,25141
Vivo,8,64,5665,12,16,6.46,157,0,19106
Motorola,12,64,4386,12,12,5.79,186,1,24970
Realme,8,32,5429,48,16,6.24,209,1,23880
Xiaomi,12,512,5280,108,16,6.1,196,1,35471
OnePlus,12,64,4800,48,12,5.04,158,1,25640
OnePlus,12,32,4367,12,32,6.88,204,1,30987
Xiaomi,8,64,4572,48,32,5.08,142,0,20703
OnePlus,8,128,3816,48,16,6.84,181,1,20540
Xiaomi,12,512,3552,108,32,6.04,160,1,32183
Apple,4,256,3855,64,16,6.83,179,0,12353
Xiaomi,6,64,4812,12,32,5.22,206,1,18470
Oppo,6,128,5866,108,16,5.93,164,0,16494
Xiaomi,6,256,3182,48,32,5.32,194,1,16805
OnePlus,8,256,4574,48,8,5.1,223,1,26491
Motorola,8,64,3396,64,12,6.17,191,1,19567
Oppo,4,32,4727,12,8,5.39,183,1,19997
OnePlus,6,64,5826,12,12,6.12,224,0,15599
Samsung,6,128,4517,50,12,5.21,195,1,20678
Samsung,12,256,3906,12,16,5.63,194,1,28071
Motorola,8,64,4356,64,12,6.49,226,1,28628
Motorola,6,32,5174,50,8,5.83,209,1,17567
Oppo,4,64,3000,50,8,6.19,216,1,13554
Apple,4,512,3018,48,32,6.23,226,0,18195
Motorola,6,32,3583,48,8,6.6,212,1,15730
Samsung,8,128,3455,12,32,5.62,220,0,15873
Xiaomi,4,256,5036,50,12,6.31,205,0,13676
OnePlus,12,64,4132,48,8,6.83,158,1,26142
Samsung,4,32,5492,64,12,6.39,222,1,22607
Samsung,3,512,4952,48,8,5.93,146,0,18746
Apple,3,32,5649,48,8,6.2,202,1,11893
Oppo,8,512,5150,50,32,6.41,181,0,27457
Oppo,6,128,3987,50,12,6.16,181,1,25261
Vivo,8,256,3519,108,8,5.03,198,1,23351
Apple,8,128,3858,64,16,5.37,159,1,26273
Xiaomi,8,64,3173,50,12,6.54,212,0,17995
Oppo,8,32,4366,12,12,5.52,156,1,26511
OnePlus,12,512,5478,64,12,6.39,166,1,37624
Motorola,12,512,3726,64,32,5.71,186,1,35647
Apple,4,32,4710,50,16,5.99,141,1,15613
Motorola,3,32,4875,64,12,5.13,202,1,12878
Samsung,8,64,5897,50,8,5.34,201,0,19545
OnePlus,4,128,4681,48,8,6.82,158,1,21167
OnePlus,3,512,4347,108,32,6.69,156,1,24832
Samsung,6,64,3989,48,8,6.24,208,0,17245
Apple,12,128,5686,50,12,5.87,178,1,32111
Samsung,3,64,3419,50,8,6.28,221,0,11190
Motorola,6,512,3593,48,12,6.18,210,1,23883
Vivo,3,32,5532,12,8,6.08,220,1,20313
OnePlus,12,32,4774,12,16,5.11,178,1,24423
Realme,12,128,5459,12,32,6.2,175,1,32740
Realme,4,256,3935,50,32,6.46,179,0,17110
Motorola,8,128,4107,64,16,6.89,184,1,29309
Xiaomi,3,256,4136,50,16,5.02,143,0,12730
Oppo,3,64,3331,64,32,6.39,164,1,16077
Samsung,6,64,5702,48,16,6.09,208,0,23132
Samsung,12,512,5088,108,12,5.82,169,1,33847
Xiaomi,3,256,4793,64,8,5.24,215,1,13408
Xiaomi,12,512,3958,12,32,5.78,207,1,35583
Motorola,3,32,3104,50,16,5.67,227,1,17441
Motorola,4,256,3201,48,12,5.58,168,1,16893
Xiaomi,8,128,5497,12,32,6.39,212,1,24204
OnePlus,3,32,4842,48,16,6.33,207,0,12782
Motorola,12,32,4866,108,32,6.12,190,1,32943
Vivo,4,128,4996,50,16,6.78,163,0,12333
Motorola,3,32,4289,50,32,5.66,153,0,12351
Samsung,6,256,3909,108,12,5.46,208,1,23986
Motorola,8,512,3209,50,12,6.25,157,0,23640
OnePlus,3,32,3562,64,8,5.38,181,0,10615
Xiaomi,4,256,5760,48,32,5.6,196,0,18484
Samsung,6,64,4563,12,8,5.43,222,0,17708
Motorola,4,256,3770,108,32,5.13,151,0,18398
OnePlus,4,512,5501,64,16,6.57,221,1,20461
Vivo,6,256,5714,12,16,5.48,156,0,22866
Motorola,4,128,3628,12,8,5.9,169,1,12236
OnePlus,6,512,4628,108,32,5.08,227,0,18404
Vivo,3,64,4701,64,8,6.33,214,1,15092
Xiaomi,6,128,3386,12,12,5.63,162,0,17418
Motorola,6,256,4935,12,8,6.41,220,1,21526
Vivo,8,512,5343,64,8,5.78,140,1,28461
Samsung,6,64,5305,50,16,5.37,218,0,19526
Xiaomi,6,128,4104,12,8,5.98,171,1,16460
Samsung,3,64,3267,48,32,5.25,148,1,12674
Realme,8,256,5466,64,16,5.84,154,0,27069
Apple,12,64,5282,12,8,5.6,167,1,32060
Motorola,3,32,4856,108,12,6.73,163,1,17780
Vivo,3,128,4998,48,8,5.12,199,1,14698
Apple,12,64,4380,12,8,6.32,174,1,26485
Apple,6,256,4236,48,8,5.35,225,1,26143
Vivo,4,256,3573,48,16,5.61,166,1,16476
Xiaomi,8,64,3048,50,32,5.79,222,1,24718
Motorola,4,256,4150,48,12,6.73,215,1,22976
Realme,12,512,3222,50,8,5.46,159,0,31327
Samsung,3,512,5968,64,32,5.17,204,1,23025
OnePlus,3,512,4431,50,32,5.61,224,0,18966
Samsung,8,32,4528,108,16,5.2,188,0,25687
OnePlus,3,64,4819,12,12,5.24,140,1,10619
Samsung,3,32,5324,64,16,6.09,149,1,13662
Vivo,8,256,4461,64,32,5.12,186,0,23618
Realme,8,32,4130,108,32,5.06,198,1,28126
Motorola,12,256,4681,50,32,6.36,201,1,34642
OnePlus,3,256,5467,12,16,5.69,225,1,17921
Motorola,3,128,5658,50,12,5.24,157,1,20520
Motorola,12,512,3374,48,8,5.48,185,1,28148
Motorola,6,256,5120,50,16,6.22,171,0,19141
Oppo,6,128,5021,64,32,5.52,166,0,17948
Xiaomi,6,512,4053,12,16,5.94,157,1,20232
Samsung,12,256,4889,50,32,5.23,178,0,24535
Motorola,3,256,4823,12,8,6.12,188,1,17134
Samsung,12,32,4474,12,8,5.6,221,1,23813
Motorola,12,32,5242,48,12,6.19,183,1,31997
OnePlus,6,512,4179,48,32,6.54,211,0,22637
Xiaomi,4,256,5894,64,12,6.16,193,1,21485
Xiaomi,3,64,4064,108,12,5.56,173,1,16304
Vivo,6,32,5070,12,8,5.49,210,1,19691
Oppo,4,512,3359,108,16,5.62,175,0,14404
Vivo,4,256,5607,64,16,5.31,157,1,15935
Vivo,8,256,5719,12,12,5.34,177,1,24806
Vivo,3,64,5041,12,8,6.5,198,1,17940
Vivo,4,512,4141,108,32,5.73,148,1,26371
Vivo,6,256,4635,50,16,5.83,212,0,19244
Realme,8,32,4403,48,12,6.13,211,0,21942
Xiaomi,3,64,4943,50,16,6.12,190,1,11937
Vivo,12,512,3678,108,16,5.13,174,1,36307
Motorola,6,64,5487,48,32,6.58,221,1,17906
Xiaomi,4,32,5980,50,8,5.34,144,0,19895
Xiaomi,4,512,3006,48,32,6.37,153,0,18624
Apple,6,64,5468,12,8,6.47,169,0,13510
Realme,4,128,4591,50,16,6.36,143,0,16334
Vivo,8,32,3832,48,12,6.1,178,1,21889
Samsung,3,32,5606,48,32,5.03,223,1,16737
OnePlus,8,32,4810,48,8,5.68,203,0,17469
Oppo,4,128,3913,50,16,6.15,164,1,22823
Motorola,12,128,5011,64,8,5.74,167,0,26232
Samsung,3,256,4442,50,8,6.64,215,1,17213
Realme,3,64,4450,108,8,5.59,205,0,14974
OnePlus,6,256,4502,50,16,5.56,217,1,19148
Realme,6,64,3125,48,12,5.51,161,1,16176
Motorola,12,128,5442,12,12,5.63,170,1,30520
Xiaomi,3,128,3816,50,12,6.06,162,1,15414
OnePlus,12,256,5928,50,8,6.34,187,1,37217
Xiaomi,6,512,4829,48,16,6.26,159,1,29817
Motorola,6,256,3575,12,8,6.53,177,0,22337
Samsung,3,64,5372,12,12,6.68,194,1,11673
Motorola,8,256,4415,108,12,6.55,207,1,23815
Samsung,4,32,3929,50,16,5.04,218,0,15957
OnePlus,6,64,4463,12,8,6.4,227,1,21865
OnePlus,6,64,3832,12,32,5.4,228,1,18177
Vivo,8,512,4054,64,32,5.25,140,1,32239
Realme,8,128,4648,64,12,6.21,146,1,28911
Vivo,12,64,4900,12,16,5.61,196,1,29549
Realme,12,128,4457,108,8,5.11,151,1,35737
Vivo,4,256,5884,12,8,5.26,144,1,17557
Xiaomi,4,32,5973,48,12,5.0,189,1,18748
OnePlus,3,512,4399,50,12,6.72,181,1,20199
Samsung,12,128,3442,108,8,5.05,151,1,29903
Realme,6,64,5122,48,8,5.4,157,1,18168
Motorola,12,128,3556,108,12,5.79,205,1,30795
Realme,6,64,4178,48,8,5.68,213,1,18470
Samsung,8,128,5037,50,32,6.73,218,1,23590
Vivo,12,64,3362,50,12,5.08,156,1,29877
Realme,8,256,5495,64,8,5.97,207,1,30618
Oppo,4,64,4257,48,12,6.29,210,0,12276
Xiaomi,4,64,4841,64,16,6.77,201,1,16387
OnePlus,3,32,5309,48,12,6.18,180,1,18910
Samsung,12,64,4850,64,12,6.53,173,0,24248
OnePlus,8,32,5172,50,16,5.16,209,0,20923
Oppo,6,512,3910,108,32,5.73,184,1,28368
Realme,4,32,3244,64,8,5.71,197,0,9394
Realme,4,256,3541,48,16,6.68,190,1,17806
Motorola,6,32,5532,48,12,5.29,173,1,21643
Oppo,8,512,5169,50,8,5.29,183,1,31332
Samsung,8,256,5172,48,16,5.62,154,1,29397
Motorola,12,128,4572,12,8,5.1,217,1,33976
Xiaomi,12,128,5217,108,8,5.35,209,1,35527
Motorola,3,32,3123,64,16,6.83,189,0,13320
Apple,4,32,5693,108,8,5.81,171,1,20094
